Iteration,Score,Improvement,Edge Cases
1,0.5599999999999999,0.0,2
2,0.6799999999999999,0.12,2
3,0.76,0.08000000000000007,1
4,0.76,0.0,1
5,0.8,0.040000000000000036,1
6,0.6799999999999999,-0.1200000000000001,2
7,0.6799999999999999,0.0,2
8,0.6799999999999999,0.0,2
9,0.6,-0.07999999999999996,2
10,0.64,0.040000000000000036,1
11,0.6799999999999999,0.039999999999999925,2
12,0.64,-0.039999999999999925,1
13,0.5599999999999999,-0.08000000000000007,2
14,0.72,0.16000000000000003,1
15,0.6799999999999999,-0.040000000000000036,2
16,0.6799999999999999,0.0,2
17,0.6799999999999999,0.0,2
18,0.6799999999999999,0.0,2
19,0.68,1.1102230246251565e-16,1
20,0.6799999999999999,-1.1102230246251565e-16,2
